rubrique,regime,department,count
1321,Inconnu,67,1
2517,Inconnu,67,2
2715,,67,7
2711,Autorisation,67,3
2792,,67,1
1511,Inconnu,67,1
1530,Inconnu,67,2
2221,Inconnu,67,1
4734,Inconnu,67,6
288,,68,7
33BIS,,68,8
361,,68,16
167,Autorisation,68,40
322,Autorisation,68,16
2710,Inconnu,67,1
2714,Enregistrement,67,3
2716,Enregistrement,67,3
2794,,67,1
1413,,67,1
2711,Inconnu,67,1
98BIS,Inconnu,67,1
2230,Enregistrement,67,1
2560,Autorisation,68,19
2560,Enregistrement,68,9
2563,Enregistrement,68,2
2925,,68,92
286,Autorisation,68,24
2516,Inconnu,67,1
2980,Autorisation,67,4
4110,,67,3
4120,Autorisation,67,1
4441,,67,3
2910,Autorisation,68,38
1530,,68,50
2251,Autorisation,68,4
2253,Autorisation,68,3
2663,,68,23
2910,,68,89
1432,,68,42
1434,,68,28
1435,Enregistrement,68,5
2102,Enregistrement,67,2
1511,Enregistrement,68,2
2251,Enregistrement,68,6
2564,,68,11
2710,,68,15
2710,Enregistrement,68,12
2711,,68,7
2713,,68,6
2714,Autorisation,68,8
2715,,68,4
2716,Autorisation,68,5
2718,Autorisation,68,13
2719,,68,2
2790,Autorisation,68,8
2791,Autorisation,68,11
2515,Autorisation,68,24
2517,Inconnu,68,2
2781,Autorisation,68,2
2910,Enregistrement,68,4
4310,,68,2
2713,Enregistrement,68,2
1510,Enregistrement,68,23
2515,Enregistrement,68,12
2517,Enregistrement,68,7
2510,Autorisation,68,43
2517,Autorisation,68,6
2510,Inconnu,68,2
405,,68,11
2546,Autorisation,68,2
2552,Autorisation,68,4
2561,,68,13
2920,Autorisation,68,43
2940,Autorisation,68,29
2940,,68,33
1131,Inconnu,68,5
1331,,68,3
4702,,68,2
1432,Inconnu,68,23
1435,Inconnu,68,8
2410,Autorisation,68,8
2915,Autorisation,68,11
1418,Inconnu,68,13
1630,Inconnu,68,13
211,Inconnu,68,2
2430,Autorisation,68,4
2440,Autorisation,68,4
329,Autorisation,68,6
330,,68,2
333,,68,1
3610,Autorisation,68,2
385QUA,,68,1
2560,,68,21
1520,,68,7
2521,Autorisation,68,6
2915,,68,20
1131,,68,19
1414,,68,15
1432,Autorisation,68,18
1434,Inconnu,68,11
1510,Inconnu,68,6
1530,Inconnu,68,7
2564,Autorisation,68,10
2661,,68,21
2662,,68,28
2663,Inconnu,68,5
2910,Inconnu,68,22
2921,Enregistrement,68,12
1435,Autorisation,68,1
2220,,68,5
2221,Autorisation,68,3
1200,,68,14
2320,,68,1
2330,Autorisation,68,8
4440,,68,4
1111,Inconnu,68,2
1138,,68,3
1220,Inconnu,68,13
1433,Inconnu,68,7
153BIS,,68,14
1611,Inconnu,68,9
2575,,68,21
2940,Inconnu,68,4
2662,Enregistrement,68,11
2663,Enregistrement,68,9
1432,,52,28
1434,,52,12
1520,,52,11
2515,Autorisation,52,28
2517,Autorisation,52,3
2521,Autorisation,52,12
2915,,52,12
2920,,52,30
1111,Autorisation,68,11
