rubriques,years,departments,occurrences
1136,2010,67,2
1530,2010,67,6
1715,2010,67,4
2253,2010,67,2
2275,2010,67,2
2910,2010,67,11
2921,2010,67,7
3642,2012,67,4
4735,2015,67,1
2630,2009,67,1
2925,2009,67,5
2560,1996,67,3
2565,1996,67,4
1530,2001,67,5
153BIS,1994,67,1
253,2001,67,1
2565,2001,67,4
2661,2006,67,1
2662,2001,67,3
2662,2006,67,3
2663,2006,67,3
2663,2005,67,5
272,1987,67,1
2920,2006,67,18
2925,2001,67,6
2925,2006,67,6
2940,2001,67,5
2940,2006,67,4
361,1994,67,2
405,1994,67,3
406,1994,67,3
2575,2006,67,3
4510,2006,67,2
4719,2006,67,1
4725,2006,67,2
1111,2008,67,4
1155,2008,67,1
1200,2008,67,2
133,1992,67,1
1331,1992,67,1
1331,2008,67,1
1510,2008,67,9
183,1992,67,1
183TER,1992,67,2
2171,1992,67,1
2171,2008,67,1
2714,1992,67,1
357SEP,1992,67,1
4001,1992,67,1
4110,1992,67,1
4120,1992,67,2
4130,1992,67,2
4140,1992,67,1
4150,1992,67,1
4510,1992,67,1
4511,1992,67,1
1175,2007,67,2
1180,1997,67,5
1510,2007,67,9
2661,2007,67,1
2661,1997,67,2
2662,2007,67,6
2662,1997,67,7
2915,2018,67,2
1412,2000,67,2
1510,2000,67,5
1510,2010,67,6
1185,2019,67,2
1412,2007,67,2
1414,2002,67,4
1414,2017,67,1
1432,2002,67,2
1530,2019,67,4
1720,2002,67,3
2661,2002,67,9
2661,2019,67,2
2662,2017,67,2
2662,2002,67,3
2663,2003,67,3
2663,2017,67,1
2663,2019,67,2
2915,2017,67,3
4331,2017,67,2
4331,2019,67,1
4511,2017,67,1
4718,2017,67,1
4719,2017,67,1
4725,2017,67,1
4725,2019,67,2
4802,2017,67,2
2160,1999,67,3
2910,1999,67,11
1412,1997,67,1
1530,1997,67,2
2445,1997,67,1
2450,1997,67,1
2640,1997,67,1
329,1997,67,2
2160,2018,67,2
2240,2018,67,1
2710,2018,67,6
2910,2018,67,8
1432,2006,67,5
1434,2006,67,9
1434,2020,67,1
1510,1997,67,4
2220,2006,67,5
2220,2020,67,2
2250,2006,67,1
2250,2020,67,1
2260,1997,67,5
253,2006,67,1
2921,2020,67,1
4130,2020,67,1
4331,2020,67,1
4801,2020,67,2
167,1996,67,2
167,2001,67,2
167,2006,67,7
286,1996,67,1
286,2006,67,4
3532,2014,67,2
2160,2001,67,2
2260,2001,67,3
2560,2001,67,3
2575,2001,67,4
4719,2020,67,1
1434,1999,67,2
1435,1999,67,2
2795,1999,67,2
167,2007,67,5
286,2007,67,3
322,2007,67,8
1432,1995,67,4
1434,1995,67,3
1435,1995,67,2
2515,1995,67,3
2523,1995,67,1
2661,1995,67,2
2910,1995,67,3
2920,1995,67,4
3350,2013,67,3
1136,1998,67,3
2560,2003,67,5
2561,2003,67,1
2565,2003,67,6
2920,2003,67,17
2925,2003,67,12
2940,2003,67,4
1418,2007,67,4
1418,2013,67,1
2220,2007,67,3
2220,2013,67,1
2230,2013,67,1
